procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 106332  14608 2814792    0    0  3052  3491 9657 8881 37 27  8 29  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  3      0 118524  14576 2801772    0    0  2552  3393 9881 9369 33 30  8 29  0
 4  0      0 115248  14576 2804884    0    0  2784  3505 9747 8885 33 31  8 27  1
 0  1      0 111184  14576 2808292    0    0  3120  3344 9691 8901 36 27 11 26  0
 1  2      0 107932  14576 2811396    0    0  2796  3698 10195 9670 30 31  9 29  0
 2  2      0 104616  14576 2814472    0    0  2744  3688 10437 9350 34 31  8 27  0
 0  2      0 117248  14544 2801668    0    0  2748  3593 9937 9648 37 25  8 30  1
 0  1      0 116144  14544 2805064    0    0  3152  3340 8371 8192 38 23  9 31  1
 3  1      0 112680  14544 2808024    0    0  2676  3652 9546 9272 34 30  8 28  0
 3  1      0 110600  14544 2811100    0    0  2768  3579 10222 9288 36 31  8 26  0
 4  1      0 105624  14544 2814204    0    0  2820  3690 9942 9143 34 33  7 24  1
 2  2      0 117192  14512 2801296    0    0  2656  3797 10792 9899 36 37  8 19  0
 2  1      0 113192  14512 2804736    0    0  3136  3293 8999 8448 34 28  6 31  1
 4  0      0 111492  14512 2807836    0    0  2820  3562 9965 8927 35 30  7 28  0
 3  1      0 107364  14512 2811208    0    0  3068  3458 10225 9266 34 35  5 26  0
 2  0      0 103900  14512 2814304    0    0  2772  3588 9841 9387 32 33  9 27  0
 0  2      0 115736  14480 2801652    0    0  2864  3346 9756 9044 34 31  6 29  0
 2  2      0 111956  14480 2805044    0    0  3184  3185 9029 8178 32 28  5 34  1
 3  0      0 107420  14480 2808244    0    0  2880  3433 9725 9004 31 31  9 29  1
 1  4      0 104548  14480 2810964    0    0  2336  3727 10586 9687 39 29  7 25  0
 3  2      0 118476  14448 2797856    0    0  2420  3665 9956 9532 32 30 10 27  0
 5  0      0 115704  14448 2800348    0    0  2116  3817 9746 9478 35 29 10 26  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 111200  14448 2803588    0    0  2972  3426 9266 8832 33 26  8 33  0
 0  2      0 107160  14448 2806588    0    0  2696  3635 9836 8887 34 30  7 28  1
 4  0      0 118856  14416 2793644    0    0  2496  3777 10756 9996 33 37  8 22  0
 2  2      0 116808  14416 2796444    0    0  2480  3861 10350 9547 37 31  7 24  0
 2  1      0 112036  14416 2799464    0    0  2664  3759 10129 9414 32 36  6 26  0
 1  1      0 108120  14416 2802464    0    0  2672  3455 9885 9202 32 31  9 27  1
 1  1      0 105444  14416 2805256    0    0  2484  3775 10561 9531 39 33  7 20  1
 1  2      0 118580  14360 2792904    0    0  2472  3810 10667 9610 35 35  7 23  0
 4  0      0 116816  14360 2796228    0    0  3004  3483 9602 8790 34 30  8 28  0
 2  1      0 113256  14360 2798720    0    0  2192  3977 10593 10016 37 34  9 20  0
 3  1      0 110800  14360 2801872    0    0  2840  3498 9897 9211 33 29  8 29  0
 2  1      0 107240  14360 2804888    0    0  2676  3624 10344 9497 37 35  6 22  1
 3  2      0 103524  14360 2807940    0    0  2852  3576 9937 9634 30 35  5 29  1
 4  1      0 116904  14328 2795620    0    0  2144  3882 11017 10454 31 33  8 28  0
 1  1      0 114792  14328 2797640    0    0  1684  3912 11337 10391 35 34  8 22  0
 0  1      0 110760  14328 2800564    0    0  2528  3817 10732 10048 39 34  7 20  0
 4  0      0 106664  14328 2803300    0    0  2484  3703 10081 9399 33 36  7 24  1
 3  0      0 117628  14296 2792048    0    0  3192  3677 10279 9415 33 36  6 25  1
 2  1      0 114384  14296 2795296    0    0  2980  3903 10267 9962 30 32  9 28  1
 4  0      0 110004  14296 2798508    0    0  2824  3787 11419 10240 35 36  7 21  0
